,user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
2130,6,0.29,0.38,0.03,1
2131,6,0.29,0.38,0.03,1
2132,6,0.31,0.4,0.01,1
2133,6,0.31,0.4,0.01,1
2134,6,0.31,0.4,0.01,1
2135,6,0.33,0.4,0.07,1
2136,6,0.33,0.4,0.07,1
2137,6,0.33,0.4,0.07,1
2138,6,0.02,0.2,0.05,1
2139,6,0.02,0.2,0.05,1
2140,6,0.02,0.2,0.05,1
2141,6,0.36,0.8,0.01,1
2142,6,0.36,0.8,0.01,1
2143,6,0.36,0.8,0.01,1
2144,6,0.3,0.97,0.01,1
2145,6,0.3,0.97,0.01,1
2146,6,0.3,0.97,0.01,1
2147,6,0.64,0.94,0.04,1
2148,6,0.64,0.94,0.04,1
2149,6,0.64,0.94,0.04,1
2150,6,0.64,0.94,0.04,1
2151,6,0.99,0.99,0.01,1
2152,6,0.99,0.99,0.01,1
2153,6,0.99,0.99,0.01,1
2154,6,0.99,0.99,0.01,1
2155,6,0.22,0.7,0.01,1
2156,6,0.22,0.7,0.01,1
2157,6,0.22,0.7,0.01,1
2158,6,0.39,0.6,0.04,1
2159,6,0.39,0.6,0.04,1
2160,6,0.39,0.6,0.04,1
2161,7,0.61,0.92,0.01,1
2162,7,0.61,0.92,0.01,1
2163,7,0.41,0.98,0.01,1
2164,7,0.41,0.98,0.01,1
2165,7,0.41,0.98,0.01,1
2166,7,0.46,0.92,0.01,1
2167,7,0.46,0.92,0.01,1
2168,7,0.46,0.92,0.01,1
2169,7,0.49,0.77,0.02,1
2170,7,0.49,0.77,0.02,1
2171,7,0.49,0.77,0.02,1
2172,7,0.54,0.53,0.01,1
2173,7,0.54,0.53,0.01,1
2174,7,0.54,0.53,0.01,1
2175,7,0.57,0.86,0.02,1
2176,7,0.57,0.86,0.02,1
2177,7,0.57,0.86,0.02,1
2178,7,0.55,0.76,0.01,1
2179,7,0.55,0.76,0.01,1
2180,7,0.55,0.76,0.01,1
2181,7,0.54,0.71,0.02,1
2182,7,0.54,0.71,0.02,1
2183,7,0.54,0.71,0.02,1
2184,7,0.26,0.86,0.01,1
2185,7,0.26,0.86,0.01,1
2186,7,0.26,0.86,0.01,1
2187,7,0.26,0.86,0.01,1
2188,7,0.52,0.67,0.01,1
2189,7,0.52,0.67,0.01,1
2190,7,0.52,0.67,0.01,1
2191,7,0.39,0.66,0.01,1
2192,7,0.39,0.66,0.01,1
2193,7,0.39,0.66,0.01,1
2194,7,0.39,0.66,0.01,1
2195,7,0.43,0.76,0.01,1
